pollutant,units,category,clow,chigh,ilow,ihigh
PM2.5,μg/m3,Good,0,10,0,2
PM2.5,μg/m3,Moderate,11,25,3,6
PM2.5,μg/m3,Unhealthy,26,100,7,10
CO2,ppm,Good,450,800,0,2
CO2,ppm,Moderate,801,1400,3,6
CO2,ppm,Unhealthy,1401,5000,7,10
CO,ppm,Good,0,1.7,0,2
CO,ppm,Moderate,1.8,9.0,3,6
CO,ppm,Unhealthy,9.1,31,7,10
CH2O,ppb,Good,0,27,0,2
CH2O,ppb,Moderate,28,100,3,6
CH2O,ppb,Unhealthy,101,500,7,10
O3,ppb,Good,0,25,0,2
O3,ppb,Moderate,26,100,3,6
O3,ppb,Unhealthy,101,300,7,10
NO2,ppb,Good,0,21,0,2
NO2,ppb,Moderate,22,100,3,6
NO2,ppb,Unhealthy,101,250,7,10
Radon,Bq/m3,Good,0,100,0,2
Radon,Bq/m3,Moderate,101,150,3,6
Radon,Bq/m3,Unhealthy,151,300,7,10
